mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,split0_test_neg_rmse,split1_test_neg_rmse,split2_test_neg_rmse,split3_test_neg_rmse,split4_test_neg_rmse,mean_test_neg_rmse,std_test_neg_rmse,rank_test_neg_rmse
2.6463719844818114,1.5171879362392693,0.019646120071411134,0.004201123949444536,200,2,4,0.6,8,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 8}",-0.2453507697463415,-0.26727987359080996,-0.00220666819625448,-0.08638684168396082,-0.03076011921547872,-0.1263968544865691,0.10969817469416304,15,-0.9942546243531151,-1.117348918464147,-1.346024607778894,-1.5247869803333696,-1.3554253870838675,-1.2675681036026787,0.18830928674817446,9,-1.365179108474259,-1.4491856385194897,-1.825411996528671,-1.8605218228539333,-1.6321723803881913,-1.6264941893529088,0.19702454811540576,13
6.072827863693237,3.0853342987833945,0.025082921981811522,0.008746383216605948,400,2,2,0.8,5,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.8, 'model__max_depth': 5}",-0.1959992906400465,-0.2649594513728597,-0.034410339328174055,-0.08782627142553623,-0.041517798384136606,-0.12494263023015062,0.09076032343147016,13,-1.0003025068219535,-1.1211391496920233,-1.3761416854521775,-1.5319518969728587,-1.3576643233248777,-1.2774399124527782,0.19088709563337597,14,-1.3378556215743442,-1.4478582824466435,-1.8545078789455245,-1.8617539824465914,-1.6406674760642261,-1.628528648295466,0.21106426029712438,14
0.7026748180389404,0.1366902009239864,0.0226564884185791,0.005670832224005758,400,5,4,log2,12,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 12}",-0.14741307657494862,-0.1520114405945836,-0.028001419619430923,-0.056292589575179575,-0.05904919068211334,-0.08855354340925121,0.051125698092558576,4,-0.9361405399403661,-1.0781120720846915,-1.3668495712720194,-1.4786998830954905,-1.3816401031826384,-1.2482884339150413,0.20558460484185523,4,-1.3103993963268117,-1.381707607378379,-1.8487539442912548,-1.834571474836809,-1.6544181550846562,-1.6059701155835822,0.22414526724172895,4
0.446773099899292,0.09777005205564764,0.014197349548339844,0.009964018143888389,200,5,8,log2,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': None}",-0.10353522187946163,-0.09986228165368138,-0.029184703347088004,-0.05968471880909543,-0.04708974547552636,-0.06787133423297056,0.02929465518356107,1,-0.9059261344269968,-1.0572117123544607,-1.3861142254932823,-1.482529765870778,-1.3593813873557692,-1.2382326451002572,0.21882561911914866,1,-1.2850998900786952,-1.3500719279077014,-1.8498176448213381,-1.8375148427313635,-1.6450502712124788,-1.5935109153503153,0.23759935288984763,1
3.934606170654297,2.4460016018831032,0.016581630706787108,0.004492543438905052,200,10,1,0.8,12,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 12}",-0.187639168235453,-0.27149492137421993,-0.013063279321837484,-0.08828249051865056,-0.06985376718431602,-0.1260667253268954,0.09197592054827029,14,-0.9941661683698149,-1.1212187788533368,-1.3749761610116578,-1.5358223482094124,-1.351371851818793,-1.275511061652603,0.19306537177428731,12,-1.3331715674898879,-1.4515936764186574,-1.8352724412290196,-1.8621443382879708,-1.6628360487915137,-1.6290036144434097,0.2083444003312082,15
8.284169960021973,4.935653825564033,0.02875938415527344,0.009988756489572502,400,5,1,0.8,12,"{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 12}",-0.19810008962444114,-0.24126711901331865,-0.008714217715629857,-0.08894038876178789,-0.06079810066019031,-0.11956398315507358,0.08678534124383551,10,-1.0008069059960507,-1.1164664717592347,-1.3626467668693159,-1.5379019908993186,-1.3692065700157203,-1.277405741107928,0.1928523190527553,13,-1.3390300924250942,-1.434235203988289,-1.8313288091543636,-1.8627071133040727,-1.6557836416365637,-1.6246169721016765,0.20889860874537042,10
7.161844491958618,4.281165775855737,0.026858091354370117,0.0018269229195217195,400,10,1,0.8,8,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 8}",-0.16594987182191567,-0.2659002718239354,-0.01903246853652618,-0.0860351887627413,-0.06200963370145085,-0.11978548692931387,0.08730290184766064,11,-0.9882384461721496,-1.1208361773498117,-1.3777083360544864,-1.5386257467307713,-1.36236125578548,-1.2775539924185397,0.1967971464368151,15,-1.3209419310420172,-1.4483966085937192,-1.8406714121584278,-1.8602206820163851,-1.6567289035790271,-1.6253919074779155,0.21283277463318107,12
1.036607027053833,0.27782572681810014,0.03575258255004883,0.004028110012679951,600,2,8,sqrt,5,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 5}",-0.1273474299465347,-0.13688750901361035,-0.05905197427966691,-0.051339933222517065,-0.04841952254089943,-0.08460927380064569,0.03906222355494703,3,-0.9253414838288393,-1.0613127341929864,-1.4063010723096163,-1.4679028721244216,-1.3576704413642418,-1.2437057207640212,0.21180772293448727,3,-1.29889090663415,-1.372607919019724,-1.876466836858967,-1.8302655289168497,-1.6460945255560322,-1.6048651433971444,0.23402407033259015,3
4.780299472808838,2.488167996135814,0.02446460723876953,0.0045967905024681555,400,2,2,0.6,5,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.6, 'model__max_depth': 5}",-0.1985643190238806,-0.23782289463202222,-0.015858998641751887,-0.08954445745092698,-0.018424973747656503,-0.11204312869924764,0.09146409340576478,8,-0.9808945724716865,-1.0973790349572063,-1.371855383268799,-1.5274156205105456,-1.3466360640438741,-1.2648361350504225,0.19786713996434416,7,-1.3392894851661445,-1.4322439890193341,-1.8378030687332436,-1.8632236921053034,-1.6223768519066923,-1.6189874173861436,0.21007007247861392,8
7.576877212524414,4.6000976094307715,0.03714451789855957,0.01395650411061886,600,2,4,0.6,12,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 12}",-0.1970349895789676,-0.2467511462865648,-0.023444775142237306,-0.07752440540819272,-0.05784377923760742,-0.12051981913071397,0.08601090048066055,12,-0.9876866816534001,-1.0965657582692216,-1.3703810742745433,-1.5259166605582741,-1.376120942423918,-1.2713342234358715,0.19829407293434936,11,-1.3384347673201313,-1.4374000008729377,-1.8446520675501634,-1.852917477432249,-1.653476356353878,-1.6253761339058719,0.20895788812059696,11
1.0047863006591797,0.2278802318613277,0.03841238021850586,0.005539881116763518,600,2,1,log2,,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': None}",-0.1477756002879329,-0.19544525003482405,-0.006203793191233098,-0.0726594556738871,-0.10094435959271153,-0.10460569175611774,0.06454822591694061,7,-0.9428508771929827,-1.1148684210526316,-1.3530701754385965,-1.5137719298245613,-1.4001315789473685,-1.2649385964912283,0.20698980746396028,8,-1.3106063894957687,-1.4075135940884762,-1.829048541524107,-1.8487298468904605,-1.6868245236788,-1.6165445791355224,0.21968128358514102,7
0.5851305007934571,0.18174819427220149,0.009661006927490234,0.004536598727512212,200,10,2,sqrt,,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None}",-0.17267232960547152,-0.21843149099581294,0.003935055523465958,-0.10258315973274734,-0.08371610733192236,-0.11469360642849764,0.0765533916187859,9,-0.9653677867681404,-1.1079723508430581,-1.3507638045711055,-1.5335703902972426,-1.3873780556801527,-1.26901047763194,0.2043617377998021,10,-1.3247445016500183,-1.4209811283065825,-1.8198101553964634,-1.8743392405310304,-1.673574250062664,-1.6226898551893516,0.2164397799548667,9
6.880845355987549,4.408471706455872,0.03071308135986328,0.0090729025216918,600,2,8,0.8,8,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 8, 'model__max_features': 0.8, 'model__max_depth': 8}",-0.12350038470641267,-0.19191837965471925,-0.04760616537097917,-0.05218922900691547,-0.0580988754679026,-0.09466260684138583,0.055938369190013194,5,-0.9505943641458432,-1.078020085129168,-1.3898338979967804,-1.4821462872496036,-1.3656786385552961,-1.2532546546153385,0.20297528280440513,6,-1.2966727961480755,-1.405435797229518,-1.8662992399795508,-1.8310046442821597,-1.6536757100618682,-1.6106176375402346,0.22647669337303583,5
0.9289971828460694,0.20721091338475967,0.033570480346679685,0.004740047852494073,600,5,8,log2,12,"{'model__n_estimators': 600, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 12}",-0.10026112089771866,-0.11473116580373799,-0.03757393964816913,-0.054738301428766345,-0.057465610096019804,-0.07295402757488238,0.02937502681213003,2,-0.9097668985201288,-1.0679107933858505,-1.3957941492649375,-1.466679539189565,-1.3666441672908125,-1.2413591095302587,0.21464087960763142,2,-1.2831920795120333,-1.3591670089758385,-1.8573415913281348,-1.8332212322787638,-1.65318077885901,-1.597220538190756,0.23739174124757634,2
1.9434017658233642,1.1196196284825504,0.008309173583984374,0.006034685221450487,200,5,8,0.6,,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 0.6, 'model__max_depth': None}",-0.11435276156786323,-0.17919258587457954,-0.02993679889252543,-0.09188888926073147,-0.06999699938897619,-0.09707360699693517,0.04961747848208502,6,-0.9314704375641661,-1.084289320183704,-1.3697362328729092,-1.5085756020793588,-1.3700420046608133,-1.2528227194721904,0.21189122830402135,5,-1.291383204226383,-1.3979129323675772,-1.8504934154242223,-1.8652272145700461,-1.6629473554529843,-1.613592824408243,0.23333001574545906,6
